Series,x_vector,y_vector
S1,-1.16508348,2.76679197
S1,-1.054748619,1.166262651
S1,-1.711307656,4.535341672
S1,-1.980450588,3.904957406
S1,0.5136052837,-0.2788486631
S1,1.038934956,3.058078503
S1,2.235774104,3.632573197
S1,2.173455551,5.148805393
S1,1.609233958,1.61332491
S1,2.186661662,5.974460909
S1,0.5918611667,0.7912592709
S1,2.031452657,3.69770234
S1,1.708118858,2.540005768
S1,-1.399590298,2.847553061
S1,-2.198706323,3.769303383
S1,-2.502662562,5.4860487
S1,-0.3883111686,0.5586481978
S1,-0.4478853777,0.950872985
S1,-1.909320056,1.930499902
S1,-2.100725104,4.60530065
S1,-2.896712618,7.229210753
S1,-4.325894099,18.0715311
S1,-4.777914326,24.14090449
S1,-6.395183124,41.89990728
S1,-3.39150105,11.30875153
S1,-2.943679262,7.732070775
S1,-2.171425682,5.025418936
S1,-3.2142869,11.91496199
S1,-1.757905247,3.996380034
S1,-1.147881512,1.718774796
S1,-2.029113936,4.193000809
S1,-2.035396102,5.20232646
S1,-2.333257805,6.361030023
S1,-0.9298935521,1.673975095
S1,-1.047047974,0.3846871816
S1,0.09053426141,-2.681388727
S1,0.8158394936,0.09854705393
S1,0.475871925,1.525652922
S1,0.4021597148,-0.02855910831
S1,-0.4803585765,-0.4073039717
S1,-0.9543387466,-1.124621438
S1,-2.302540026,4.697318218
S1,-2.611790234,6.013286338
S1,-2.846088053,7.493438027
S1,-2.921864349,8.624200092
S1,-0.2764193432,-0.1578893761
S1,-0.1174244862,1.276315406
S1,-1.589356705,0.9622566445
S1,-0.5806453831,-1.156322462
S1,-0.8396337692,-0.3921499556
