,review_id,review,compound score,sentiment
6,The_Thing_0,entertaining horror,0.7096,positive
7,The_Thing_0,clever,0.4588,positive
13,The_Thing_0,no introduction,-0.296,negative
24,The_Thing_0,crazy,-0.34,negative
46,The_Thing_0,escape,0.1779,positive
49,The_Thing_0,natural prison,-0.2023,negative
82,The_Thing_0,vital link,0.296,positive
87,The_Thing_0,Rob Bottin,-0.5574,negative
88,The_Thing_0,an excellent job,0.5719,positive
91,The_Thing_0,a startlingly frightening,0.4019,positive
92,The_Thing_0,realistic mess,-0.3612,negative
94,The_Thing_0,fear,0.4588,positive
99,The_Thing_0,superb,0.6249,positive
103,The_Thing_0,a Razzie Award,0.5423,positive
119,The_Thing_0,a much kinder,0.4939,positive
129,The_Thing_0,the other hand,0.4939,positive
134,The_Thing_0,amazing,0.5859,positive
135,The_Thing_0,Assault,-0.5859,negative
137,The_Thing_0,the magnificent,0.5994,positive
139,The_Thing_0,the disappointing,-0.4939,negative
140,The_Thing_0,Escape,0.1779,positive
148,The_Thing_0,favorite,0.4588,positive
149,The_Thing_0,horror,0.4588,positive
151,The_Thing_0,a daring,0.3612,positive
154,The_Thing_0,relief,0.4767,positive
156,The_Thing_0,the same old horror,0.4588,positive
162,The_Thing_1,entertaining horror,0.7096,positive
163,The_Thing_1,clever,0.4588,positive
164,The_Thing_1,personal favorite,0.4588,positive
165,The_Thing_1,horror,0.4588,positive
168,The_Thing_1,an isolated base,-0.3182,negative
171,The_Thing_1,the original version,0.3182,positive
189,The_Thing_1,a brilliant paranoia,0.4215,positive
194,The_Thing_1,no one,-0.296,negative
197,The_Thing_1,the strength,0.4939,positive
198,The_Thing_1,security,0.34,positive
200,The_Thing_1,spite,-0.5267,negative
203,The_Thing_1,supreme,0.5574,positive
206,The_Thing_1,Death,-0.5994,negative
207,The_Thing_1,Escape From New York,0.1779,positive
208,The_Thing_1,Escape From L.A.,0.1779,positive
211,The_Thing_1,a truly,0.4404,positive
212,The_Thing_1,masterpiece,0.6249,positive
218,The_Thing_1,Horror,0.4588,positive
221,The_Thing_1,nice,0.4215,positive
237,The_Thing_1,WOW,0.5859,positive
240,The_Thing_1,no parallel,-0.296,negative
241,The_Thing_1,friend,0.4939,positive
244,The_Thing_1,a treat,0.4019,positive
252,The_Thing_1,Trust,0.5106,positive
253,The_Thing_1,a tough thing,-0.128,negative
257,The_Thing_1,horror,0.4588,positive
258,The_Thing_1,a fine,0.2023,positive
261,The_Thing_1,horror,0.4588,positive
275,The_Thing_1,true terror,-0.1531,negative
285,The_Thing_1,Granted,0.25,positive
288,The_Thing_1,winning,0.5267,positive
289,The_Thing_1,horror,0.4588,positive
293,The_Thing_1,Escape,0.1779,positive
296,The_Thing_1,outstanding performance,0.6124,positive
312,The_Thing_1,havoc,-0.5994,negative
313,The_Thing_1,favorite,0.4588,positive
316,The_Thing_1,death,-0.5994,negative
319,The_Thing_1,horror,0.4588,positive
331,The_Thing_1,favorite,0.4588,positive
336,The_Thing_1,Ass Seal Of Approval,-0.1027,negative
338,The_Thing_2,the utmost respect,0.4767,positive
341,The_Thing_2,the paranoiac,-0.3182,negative
347,The_Thing_2,success,0.5719,positive
348,The_Thing_2,the unbearable tension,-0.3182,negative
351,The_Thing_2,a fearful hold,-0.4939,negative
358,The_Thing_2,an horrific scene,0.6124,positive
362,The_Thing_2,the perfect fusion,0.5719,positive
363,The_Thing_2,horror,0.4588,positive
372,The_Thing_2,a wonderful eerie,0.296,positive
375,The_Thing_2,doom,-0.4019,negative
376,The_Thing_2,paranoia,-0.25,negative
379,The_Thing_2,a solid assembly,0.1531,positive
388,The_Thing_2,glory,0.5423,positive
392,The_Thing_3,terror,-0.5267,negative
393,The_Thing_3,horror,0.4588,positive
397,The_Thing_3,great creature,0.6249,positive
404,The_Thing_3,The paranoia,-0.25,negative
405,The_Thing_3,distrust,-0.4215,negative
409,The_Thing_3,desperation,-0.4588,negative
410,The_Thing_3,suspicion,-0.3818,negative
423,The_Thing_3,unease,-0.4019,negative
424,The_Thing_3,the excellent,0.5719,positive
427,The_Thing_3,every feeling,0.128,positive
428,The_Thing_3,terror,-0.5267,negative
440,The_Thing_3,no doubt,-0.5719,negative
445,The_Thing_3,a fantastic director,0.5574,positive
446,The_Thing_3,greatest skill,0.6369,positive
448,The_Thing_3,the tension,-0.3182,negative
453,The_Thing_3,horror,0.4588,positive
457,The_Thing_3,interest,0.4588,positive
458,The_Thing_3,horror,0.4588,positive
460,The_Thing_3,a keen interest,0.6705,positive
471,The_Thing_4,a chance,0.25,positive
479,The_Thing_4,super human monster,0.5994,positive
490,The_Thing_4,eerie score,-0.3612,negative
502,The_Thing_4,STRONG,0.5106,positive
505,The_Thing_4,Rob Bottin,-0.5574,negative
514,The_Thing_4,the tension,-0.3182,negative
515,The_Thing_4,complaint,-0.296,negative
516,The_Thing_4,no one,-0.296,negative
519,The_Thing_4,commercial disaster,-0.6249,negative
526,The_Thing_4,An amusing note,0.3818,positive
539,The_Thing_5,the crap,-0.3818,negative
544,The_Thing_5,horror,0.4588,positive
